NCES District ID,State District ID,District Name,County Name*,City,km
2500086,MA-0436,Community Charter School of Cambridge (District),Middlesex County,Cambridge,3.4
2500046,MA-0487,Prospect Hill Academy Charter (District),Middlesex County,Cambridge,4.1
2503270,MA-0049,Cambridge,Middlesex County,Cambridge,4.2
2500533,MA-0480,UP Academy Charter School of Boston (District),Suffolk County,Boston,4.9
2500075,MA-0410,Excel Academy Charter (District),Suffolk County,East Boston,5.6
2500026,MA-0437,City on a Hill Charter Public School (District),Suffolk County,Roxbury,5.8
2510890,MA-0274,Somerville,Middlesex County,Somerville,6
2500543,MA-0407,Dudley Street Neighborhood Charter School (District),Suffolk County,Boston,6.3
2500054,MA-0452,Edward M. Kennedy Academy for Health Careers (Horace Mann Ch,Suffolk County,Boston,6.4
2502790,MA-0035,Boston,Suffolk County,Roxbury,6.6
2500049,MA-0424,Boston Day and Evening Academy Charter (District),Suffolk County,Roxbury,6.6
2500063,MA-0484,Roxbury Preparatory Charter (District),Suffolk County,Roxbury,7.3
2500527,MA-0417,Bridge Boston Charter School (District),Suffolk County,Roxbury,7.6
2503540,MA-0057,Chelsea,Suffolk County,Chelsea,7.7
2500053,MA-0449,Boston Collegiate Charter (District),Suffolk County,Dorchester,7.8
2500090,MA-0493,Phoenix Academy Charter Public High School Chelsea (District,Suffolk County,Chelsea,7.8
2500583,MA-0564,Shore Educational Collaborative,Suffolk County,Chelsea,8.3
2500060,MA-0439,Conservatory Lab Charter (District),Suffolk County,Dorchester,8.5
2504770,MA-0093,Everett,Middlesex County,Everett,8.6
2500518,MA-0494,Pioneer Charter School of Science (District),Middlesex County,Everett,9.3
2513170,MA-0346,Winthrop,Suffolk County,Winthrop,9.7
2500077,MA-0419,Helen Y. Davis Leadership Academy Charter Public (District),Suffolk County,Boston,10.1
2500029,MA-0444,Neighborhood House Charter (District),Suffolk County,Dorchester,10.5
2507170,MA-0165,Malden,Middlesex County,Malden,10.7
2500066,MA-0469,MATCH Charter Public School (District),Suffolk County,Boston,10.7
2500526,MA-0411,Boston Green Academy Horace Mann Charter School (District),Suffolk County,Brighton,11
2507560,MA-0176,Medford,Middlesex County,Medford,11
2500022,MA-0420,Benjamin Banneker Charter Public (District),Middlesex County,Cambridge,11.1
2500549,MA-3505,UP Academy Charter School of Dorchester (District),Suffolk County,Boston,11.1
2510050,MA-0248,Revere,Suffolk County,Revere,11.9
2511150,MA-0370,Institutional Schools,Middlesex County,Malden,13.3
2500070,MA-0438,Codman Academy Charter Public (District),Suffolk County,Dorchester,14
2501980,MA-0010,Arlington,Middlesex County,Arlington,14.1
2500055,MA-0470,Mystic Valley Regional Charter (District),Middlesex County,Malden,15
2500537,MA-0463,KIPP Academy Boston Charter School (District),Suffolk County,Mattapan,15.3
2513110,MA-0344,Winchester,Middlesex County,Winchester,15.3
2509870,MA-0243,Quincy,Norfolk County,Quincy,15.7
2507620,MA-0178,Melrose,Middlesex County,Melrose,15.9
2502490,MA-0026,Belmont,Middlesex County,Belmont,16.1
2508610,MA-0207,Newton,Middlesex County,Newtonville,16.1
2512180,MA-0314,Watertown,Middlesex County,Watertown,16.2
2500573,MA-0562,SEEM Collaborative,Middlesex County,Stoneham,16.7
2511220,MA-0284,Stoneham,Middlesex County,Stoneham,16.7
2500546,MA-3506,Pioneer Charter School of Science II (District),Essex County,Saugus,17.4
2507980,MA-0189,Milton,Norfolk County,Milton,17.5
2510500,MA-0262,Saugus,Essex County,Saugus,17.6
2500071,MA-0428,Brooke Charter School (District),Suffolk County,Roslindale,18.5
2506840,MA-0155,Lexington,Middlesex County,Lexington,18.9
2507110,MA-0163,Lynn,Essex County,Lynn,19.6
2500080,MA-0416,Boston Preparatory Charter Public (District),Suffolk County,Hyde Park,19.9
2511430,MA-0291,Swampscott,Essex County,Swampscott,21
2503150,MA-0046,Brookline,Norfolk County,Brookline,21.4
2500082,MA-0429,KIPP Academy Lynn Charter (District),Essex County,Lynn,21.5
2508960,MA-0853,Northeast Metropolitan Regional Vocational Technical,Middlesex County,Wakefield,21.5
2500039,MA-0481,Boston Renaissance Charter Public (District),Suffolk County,Hyde Park,21.6
2508220,MA-0196,Nahant,Essex County,Nahant,21.7
2502940,MA-0040,Braintree,Norfolk County,Braintree,22.2
2507140,MA-0164,Lynnfield,Essex County,Lynnfield,22.8
2500021,MA-0412,Academy Of the Pacific Rim Charter Public (District),Suffolk County,Hyde Park,23.4
2512000,MA-0308,Waltham,Middlesex County,Waltham,24.2
2507260,MA-0168,Marblehead,Essex County,Marblehead,25.1
2512750,MA-0330,Weston,Middlesex County,Weston,25.1
2511910,MA-0305,Wakefield,Middlesex County,Wakefield,25.3
2509990,MA-0246,Reading,Middlesex County,Reading,25.9
2503240,MA-0048,Burlington,Middlesex County,Burlington,26.5
2500574,MA-0534,LABBB Collaborative,Middlesex County,Burlington,26.5
2513200,MA-0347,Woburn,Middlesex County,Woburn,26.7
2512270,MA-0317,Wellesley,Norfolk County,Wellesley,26.9
2500034,MA-0464,Marblehead Community Charter Public (District),Essex County,Marblehead,27.5
2513050,MA-0342,Wilmington,Middlesex County,Wilmington,27.9
2506150,MA-0133,Holbrook,Norfolk County,Holbrook,28.5
2512840,MA-0336,Weymouth,Norfolk County,Weymouth,28.6
2500578,MA-0550,ACCEPT Education Collaborative,Middlesex County,Natick,30
2502740,MA-0806,Blue Hills Regional Vocational Technical,Norfolk County,Canton,30.3
2508370,MA-0199,Needham,Norfolk County,Needham,30.6
2510615,MA-0871,Shawsheen Valley Regional Vocational Technical,Middlesex County,Billerica,30.7
2508820,MA-0217,North Reading,Middlesex County,North Reading,30.9
2509930,MA-0244,Randolph,Norfolk County,Randolph,30.9
2509360,MA-0229,Peabody,Essex County,Peabody,31.1
2500581,MA-0574,South Shore Educational Collaborative (SSEC),Plymouth County,Hingham,31.3
2500554,MA-0817,Essex North Shore Agricultural and Technical School District,Essex County,Hathorne,31.7
2503300,MA-0050,Canton,Norfolk County,Canton,32.1
2512210,MA-0315,Wayland,Middlesex County,Wayland,33
2500068,MA-0418,Christa McAuliffe Charter School (District),Middlesex County,Framingham,33.1
2500040,MA-0488,South Shore Charter Public (District),Plymouth County,Norwell,33.8
2501650,MA-0001,Abington,Plymouth County,Abington,34
2507985,MA-0830,Minuteman Regional Vocational Technical,Middlesex County,Lexington,34
2510380,MA-0258,Salem,Essex County,Salem,34
2502250,MA-0018,Avon,Norfolk County,Avon,35
2502400,MA-0023,Bedford,Middlesex County,Bedford,35
2504980,MA-0100,Framingham,Middlesex County,Framingham,35.6
2506900,MA-0157,Lincoln,Middlesex County,Lincoln,35.6
2503990,MA-0071,Danvers,Essex County,Danvers,35.7
2504050,MA-0073,Dedham,Norfolk County,Dedham,35.7
2511250,MA-0285,Stoughton,Norfolk County,Stoughton,36
2506090,MA-0131,Hingham,Plymouth County,Hingham,36.4
2500569,MA-0540,Valley Collaborative,Middlesex County,Billerica,36.4
2509060,MA-0220,Norwood,Norfolk County,Norwood,36.5
2500084,MA-0485,Salem Academy Charter (District),Essex County,Salem,36.6
2507410,MA-0705,Masconomet,Essex County,Boxford,36.9
2510170,MA-0251,Rockland,Plymouth County,Rockland,37.1
2504260,MA-0078,Dover,Norfolk County,Dover,37.2
2504290,MA-0655,Dover-Sherborn,Norfolk County,Dover,37.2
2510710,MA-0269,Sherborn,Norfolk County,Dover,37.2
2508340,MA-0198,Natick,Middlesex County,Natick,37.5
2502640,MA-0030,Beverly,Essex County,Beverly,37.8
2510930,MA-0873,South Shore Regional Vocational Technical,Plymouth County,Hanover,38
2500562,MA-0546,Northshore Education Consortium,Essex County,Beverly,38.6
2501950,MA-0009,Andover,Essex County,Andover,38.8
2511580,MA-0295,Tewksbury,Middlesex County,Tewksbury,38.9
2509030,MA-0219,Norwell,Plymouth County,Norwell,39.1
2500577,MA-0544,North River Collaborative,Plymouth County,Rockland,39.2
2512810,MA-0335,Westwood,Norfolk County,Westwood,39.4
2503090,MA-0044,Brockton,Plymouth County,Brockton,39.6
2506930,MA-0695,Lincoln-Sudbury,Middlesex County,Sudbury,39.6
2500556,MA-3902,TEC Connections Academy Commonwealth Virtual School District,Norfolk County,East Walpole,39.8
2500566,MA-0576,The Education Cooperative (TEC),Norfolk County,E. Walpole,39.8
2505670,MA-0675,Hamilton-Wenham,Essex County,Wenham,40.2
2511060,MA-0829,South Middlesex Regional Vocational Technical,Middlesex County,Framingham,40.5
2500580,MA-0516,C.A.S.E. Concord Area SPED Collaborative,Middlesex County,Concord,40.8
2503840,MA-0067,Concord,Middlesex County,Concord,40.8
2503870,MA-0640,Concord-Carlisle,Middlesex County,Concord,40.8
2511340,MA-0288,Sudbury,Middlesex County,Sudbury,40.8
2503330,MA-0051,Carlisle,Middlesex County,Carlisle,41.3
2502880,MA-0038,Boxford,Essex County,Boxford,41.6
2505790,MA-0122,Hanover,Plymouth County,Hanover,41.6
2507830,MA-0184,Middleton,Essex County,Boxford,41.6
2511670,MA-0298,Topsfield,Essex County,Boxford,41.6
2512930,MA-0780,Whitman-Hanson,Plymouth County,Whitman,41.6
2500585,MA-0528,Collaborative for Regional Educational Service and Training,Essex County,Andover,42
2505470,MA-0823,Greater Lawrence Regional Vocational Technical,Essex County,Andover,42.1
2508650,MA-0915,Norfolk County Agricultural,Norfolk County,Walpole,42.1
2502670,MA-0031,Billerica,Middlesex County,Billerica,42.3
2510620,MA-0266,Sharon,Norfolk County,Sharon,43.2
2503780,MA-0065,Cohasset,Norfolk County,Cohasset,43.8
2504620,MA-0088,Easton,Bristol County,North Easton,44.1
2511970,MA-0307,Walpole,Norfolk County,Walpole,44.1
2507500,MA-0174,Maynard,Middlesex County,Maynard,44.5
2510560,MA-0264,Scituate,Plymouth County,Scituate,44.5
2500559,MA-3513,New Heights Charter School of Brockton (District),Plymouth County,Brockton,45.1
2509420,MA-0231,Pembroke,Plymouth County,Pembroke,46.8
2507530,MA-0175,Medfield,Norfolk County,Medfield,47
2500027,MA-0440,Community Day Charter Public School (District),Essex County,Lawrence,47.3
2512420,MA-0323,West Bridgewater,Plymouth County,West Bridgewater,47.4
2500590,MA-3518,Phoenix Academy Public Charter High School Lawrence (Distric,Essex County,Lawrence,47.5
2508700,MA-0211,North Andover,Essex County,North Andover,47.7
2502100,MA-0014,Ashland,Middlesex County,Ashland,48
2506660,MA-0149,Lawrence,Essex County,Lawrence,48
2505220,MA-0105,Georgetown,Essex County,Georgetown,48.5
2507350,MA-0171,Marshfield,Plymouth County,Marshfield,48.5
2511020,MA-0872,Southeastern Regional Vocational Technical,Bristol County,South Easton,48.5
2507740,MA-0181,Methuen,Essex County,Methuen,48.6
2500032,MA-0454,Lawrence Family Development Charter (District),Essex County,Lawrence,48.7
2504950,MA-0099,Foxborough,Norfolk County,Foxborough,49
2506480,MA-0144,Ipswich,Essex County,Ipswich,49
2506420,MA-0142,Hull,Plymouth County,Hull,49.1
2508910,MA-0730,Northboro-Southboro,Worcester County,Southborough,49.1
2508880,MA-0213,Northborough,Worcester County,Southborough,49.1
2510980,MA-0276,Southborough,Worcester County,Southborough,49.1
2500065,MA-0456,Lowell Community Charter Public (District),Middlesex County,Lowell,49.4
2501710,MA-0600,Acton-Boxborough,Middlesex County,Acton,49.5
2503510,MA-0056,Chelmsford,Middlesex County,Chelmsford,49.5
2500067,MA-0698,Manchester Essex Regional,Essex County,Manchester,49.6
2507020,MA-0160,Lowell,Middlesex County,Lowell,49.8
2500033,MA-0458,Lowell Middlesex Academy Charter (District),Middlesex County,Lowell,49.9
2507320,MA-0170,Marlborough,Middlesex County,Marlborough,51.6
2503030,MA-0625,Bridgewater-Raynham,Plymouth County,Bridgewater,51.9
2500545,MA-3503,Collegiate Charter School of Lowell (District),Middlesex County,Lowell,52
2507920,MA-0187,Millis,Norfolk County,Millis,52.6
2506510,MA-0690,King Philip,Norfolk County,Norfolk,52.7
2508640,MA-0208,Norfolk,Norfolk County,Norfolk,52.7
2513290,MA-0350,Wrentham,Norfolk County,Wrentham,52.7
2500052,MA-0446,Foxborough Regional Charter (District),Norfolk County,Foxborough,52.8
2506240,MA-0136,Holliston,Middlesex County,Holliston,53.3
2507230,MA-0167,Mansfield,Bristol County,Mansfield,53.4
2504410,MA-0082,Duxbury,Plymouth County,Duxbury,53.5
2504440,MA-0083,East Bridgewater,Plymouth County,East Bridgewater,53.9
2511740,MA-0773,Triton,Essex County,Byfield,54
2500083,MA-0455,Hill View Montessori Charter Public (District),Essex County,Haverhill,55.1
2509450,MA-0745,Pentucket,Essex County,West Newbury,55.5
2504320,MA-0079,Dracut,Middlesex County,Dracut,56.1
2508320,MA-0852,Nashoba Valley Regional Vocational Technical,Middlesex County,Westford,56.1
2512600,MA-0321,Westborough,Worcester County,Westborough,56.2
2500025,MA-0435,Innovation Academy Charter (District),Middlesex County,Tyngsborough,56.5
2505480,MA-0828,Greater Lowell Regional Vocational Technical,Middlesex County,Tyngsborough,56.7
2500582,MA-0504,Bi-County Collaborative (BICO),Norfolk County,Franklin,57.5
2509690,MA-0238,Plainville,Norfolk County,Plainville,57.5
2512660,MA-0326,Westford,Bristol County,Westford,57.5
2505010,MA-0101,Franklin,Norfolk County,Franklin,57.6
2500085,MA-0430,Advanced Math and Science Academy Charter (District),Middlesex County,Marlborough,57.8
2506330,MA-0139,Hopkinton,Middlesex County,Hopkinton,57.8
2505280,MA-0107,Gloucester,Essex County,Gloucester,58.3
2500572,MA-0502,Assabet Valley Collaborative,Middlesex County,Marlborough,59
2505610,MA-0118,Halifax,Plymouth County,Kingston,59.1
2506540,MA-0145,Kingston,Plymouth County,Kingston,59.1
2509780,MA-0240,Plympton,Plymouth County,Kingston,59.1
2510830,MA-0760,Silver Lake,Plymouth County,Kingston,59.1
2500062,MA-0482,River Valley Charter (District),Essex County,Newburyport,59.4
2508580,MA-0204,Newburyport,Essex County,Newburyport,59.7
2505970,MA-0128,Haverhill,Essex County,Haverhill,61.2
2509000,MA-0218,Norton,Bristol County,Norton,62.3
2511760,MA-0301,Tyngsborough,Middlesex County,Tyngsborough,62.7
2511520,MA-0293,Taunton,Bristol County,Taunton,62.9
2500568,MA-0548,Pilgrim Area Collaborative (PAC),Plymouth County,Plymouth,63.1
2502110,MA-0801,Assabet Valley Regional Vocational Technical,Middlesex County,Marlborough,63.3
2506960,MA-0158,Littleton,Middlesex County,Littleton,63.3
2508730,MA-0212,North Attleborough,Bristol County,North Attleborough,63.8
2502710,MA-0805,Blackstone Valley Regional Vocational Technical,Worcester County,Upton,64.2
2507770,MA-0182,Middleborough,Plymouth County,Middleborough,64.7
2507860,MA-0185,Milford,Worcester County,Milford,64.7
2500589,MA-3517,Map Academy Charter School (District),Plymouth County,Plymouth,64.8
2501860,MA-0007,Amesbury,Essex County,Amesbury,65.2
2509720,MA-0239,Plymouth,Plymouth County,Plymouth,65.3
